12	5773	1
38	38180	1
38	28904	1
38	34205	1
61	38180	1
61	34205	1
61	28904	1
68	1860	1
112	7376	1
126	29580	1
126	32536	1
126	28898	1
139	35318	1
321	4277	1
336	18551	1
345	19472	1
347	2711	1
411	38071	1
452	39899	1
452	34166	1
505	49686	1
505	35912	1
505	19265	1
505	34205	1
541	28904	1
541	38180	1
541	34205	1
600	31681	1
631	41200	1
634	17255	1
634	29102	1
682	37420	1
759	47366	1
835	17255	1
863	505	1
871	19265	1
871	28904	1
871	1058	1
871	45273	1
871	34205	1
871	38180	1
878	28904	1
878	34205	1
878	38180	1
897	31138	1
921	31138	1
950	6259	1
952	28594	1
1005	42419	1
1150	35144	1
1150	17967	1
1150	1036	1
1150	46544	1
1152	50181	1
1216	456	1
1223	7376	1
1233	3389	1
1355	31138	1
1359	20886	1
1360	36338	1
1423	23063	1
1455	23063	1
1483	12322	1
1652	53401	1
1729	1745	1
1804	19265	1
1804	31138	1
1860	13565	1
1872	28904	1
1872	34205	1
1923	46462	1
1923	50269	1
1923	5863	1
1923	25837	1
1923	2300	1
1923	28977	1
1934	33797	1
1946	17255	1
1965	30159	1
1965	37484	1
1995	34607	1
2037	9437	1
2052	34420	1
2075	31138	1
2101	28904	1
2101	34205	1
2101	38180	1
2133	34205	1
2133	28904	1
2244	45305	1
2335	6338	1
2352	8982	1
2435	25761	1
2438	44021	1
2456	31138	1
2462	40861	1
2540	31658	1
2643	39399	1
2760	28904	1
2760	34205	1
2760	38180	1
2890	1923	1
2916	31658	1
2916	16870	1
3013	42081	1
3074	39562	1
3120	28904	1
3120	38180	1
3331	2709	1
3439	40381	1
3529	34205	1
3566	39990	1
3635	35932	1
3673	9579	1
3767	17255	1
3827	10578	1
3839	34205	1
3865	35015	1
3894	9784	1
3894	23893	1
3978	50313	1
4022	33555	1
4079	11682	1
4079	24524	1
4084	20794	1
4108	28904	1
4108	34205	1
4108	11013	1
4108	38180	1
4152	17255	1
4196	21120	1
4196	26808	1
4199	50942	1
4219	50942	1
4235	29793	1
4235	28515	1
4236	14210	1
4236	40062	1
4236	8681	1
4236	47788	1
4236	9784	1
4236	15227	1
4236	26257	1
4236	38515	1
4236	18838	1
4236	26413	1
4236	10407	1
4236	39472	1
4236	26769	1
4236	28149	1
4236	23755	1
4236	48273	1
4236	26883	1
4236	411	1
4236	24105	1
4236	9914	1
4236	11253	1
4236	35941	1
4236	98	1
4236	17346	1
4236	35306	1
4236	43479	1
4236	51357	1
4236	30556	1
4236	30033	1
4236	53044	1
4236	34805	1
4236	31098	1
4236	50889	1
4236	42656	1
4236	10218	1
4236	33821	1
4236	10459	1
4236	33828	1
4236	28256	1
4236	38528	1
4236	46588	1
4236	20098	1
4236	13099	1
4236	5102	1
4236	46095	1
4236	37473	1
4236	46418	1
4236	32552	1
4236	51520	1
4236	3389	1
4236	14590	1
4236	37997	1
4236	16645	1
4236	44951	1
4236	5510	1
4236	10289	1
4236	32742	1
4236	46463	1
4236	25385	1
4236	2075	1
4236	3680	1
4236	34772	1
4236	31500	1
4236	4870	1
4236	50922	1
4284	42553	1
4313	34824	1
4478	46453	1
4519	28904	1
4538	47230	1
4610	12345	1
4613	16914	1
4737	682	1
4894	39562	1
4896	23964	1
4997	17255	1
5077	25149	1
5093	23384	1
5112	38472	1
5112	11276	1
5158	7086	1
5168	50942	1
5208	17255	1
5238	40806	1
5238	17255	1
5313	10968	1
5330	40861	1
5388	4839	1
5410	34947	1
5431	28904	1
5431	34205	1
5526	27064	1
5526	17255	1
5532	24883	1
5575	17255	1
5587	39562	1
5614	6542	1
5614	1995	1
5636	10964	1
5673	41953	1
5673	9062	1
5673	29929	1
5687	61	1
5709	47479	1
5747	28904	1
5747	38180	1
5747	34205	1
5761	43772	1
5813	31893	1
5816	31658	1
5975	11013	1
5999	19265	1
6011	52638	1
6074	19265	1
6085	2649	1
6133	43117	1
6274	21370	1
6295	10106	1
6303	44551	1
6338	39590	1
6338	34790	1
6397	49117	1
6397	26910	1
6402	11824	1
6402	2649	1
6565	31138	1
6576	17255	1
6601	11013	1
6623	12580	1
6637	18080	1
6637	11013	1
6653	26080	1
6715	22037	1
6720	10025	1
7025	17264	1
7049	27590	1
7049	8119	1
7086	12524	1
7086	41065	1
7086	11182	1
7088	4092	1
7088	11013	1
7088	39811	1
7088	38180	1
7088	34205	1
7088	28904	1
7129	26393	1
7177	8935	1
7248	17255	1
7271	34205	1
7271	28904	1
7271	38180	1
7530	26346	1
7563	17255	1
7594	20078	1
7595	27541	1
7595	51565	1
7595	48784	1
7595	44952	1
7662	26393	1
7758	38982	1
7777	30973	1
7842	17255	1
7877	34205	1
7965	48077	1
7981	34205	1
8086	25169	1
8086	11858	1
8196	44859	1
8202	28792	1
8240	33479	1
8372	45593	1
8456	1355	1
8512	34205	1
8512	28904	1
8586	31138	1
8681	53401	1
8682	16489	1
8755	17255	1
8908	10803	1
8911	41171	1
8969	41362	1
8969	2655	1
9001	37861	1
9003	31658	1
9074	19265	1
9074	53401	1
9076	13962	1
9076	52820	1
9185	17255	1
9199	34205	1
9228	35816	1
9228	366	1
9228	13629	1
9228	30216	1
9228	22934	1
9228	897	1
9230	17255	1
9252	26393	1
9252	1995	1
9311	50942	1
9323	48853	1
9395	21303	1
9482	31138	1
9509	18287	1
9509	13795	1
9710	17255	1
9732	11013	1
9854	45273	1
9895	17255	1
9895	25761	1
9926	37648	1
9967	42146	1
10013	36294	1
10016	23119	1
10068	25722	1
10068	53332	1
10092	19265	1
10092	53401	1
10108	43032	1
10141	21197	1
10261	50964	1
10278	51596	1
10280	29394	1
10280	36383	1
10324	17255	1
10361	37861	1
10375	33085	1
10382	13925	1
10407	19265	1
10494	30890	1
10525	28904	1
10525	34205	1
10525	38180	1
10539	42895	1
10661	12495	1
10690	28904	1
10722	26808	1
10787	31138	1
10797	38255	1
10797	49473	1
10797	47925	1
10833	12828	1
10869	18816	1
10908	21734	1
10920	4613	1
10968	10018	1
11013	20810	1
11013	22951	1
11013	3178	1
11013	3069	1
11013	26877	1
11013	8681	1
11013	6897	1
11013	26898	1
11013	21197	1
11013	46339	1
11013	43135	1
11013	37634	1
11013	34366	1
11013	51708	1
11013	1331	1
11013	40524	1
11013	40118	1
11013	43695	1
11013	22033	1
11013	22126	1
11013	2074	1
